pathway	systematicName
PID_DELTA_NP63_PATHWAY	M236
PID_DNA_PK_PATHWAY	M42
PID_E2F_PATHWAY	M40
PID_ECADHERIN_KERATINOCYTE_PATHWAY	M184
PID_ECADHERIN_NASCENT_AJ_PATHWAY	M156
PID_ECADHERIN_STABILIZATION_PATHWAY	M232
PID_ENDOTHELIN_PATHWAY	M8
PID_EPHA2_FWD_PATHWAY	M273
PID_EPHA_FWDPATHWAY	M177
PID_EPHB_FWD_PATHWAY	M62
PID_EPHRINB_REV_PATHWAY	M257
PID_EPO_PATHWAY	M233
PID_ER_NONGENOMIC_PATHWAY	M41
PID_ERA_GENOMIC_PATHWAY	M200
PID_ERB_GENOMIC_PATHWAY	M119
PID_ERBB1_DOWNSTREAM_PATHWAY	M164
PID_ERBB1_INTERNALIZATION_PATHWAY	M214
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	M127
PID_ERBB2_ERBB3_PATHWAY	M175
PID_ERBB4_PATHWAY	M13
PID_ERBB_NETWORK_PATHWAY	M201
PID_FAK_PATHWAY	M281
PID_FANCONI_PATHWAY	M1
PID_FAS_PATHWAY	M94
PID_FCER1_PATHWAY	M7
PID_FGF_PATHWAY	M276
PID_FOXM1_PATHWAY	M176
PID_FOXO_PATHWAY	M136
PID_FRA_PATHWAY	M65
PID_GLYPICAN_1PATHWAY	M33
PID_GMCSF_PATHWAY	M22
PID_HDAC_CLASSI_PATHWAY	M101
PID_HDAC_CLASSII_PATHWAY	M30
PID_HDAC_CLASSIII_PATHWAY	M32
PID_HEDGEHOG_2PATHWAY	M211
PID_HEDGEHOG_GLI_PATHWAY	M219
PID_HES_HEY_PATHWAY	M288
PID_HIF1_TFPATHWAY	M255
PID_HIF1A_PATHWAY	M180
PID_HIF2PATHWAY	M44
PID_HIV_NEF_PATHWAY	M197
PID_HNF3A_PATHWAY	M285
PID_HNF3B_PATHWAY	M106
PID_IFNG_PATHWAY	M161
PID_IGF1_PATHWAY	M125
PID_IL12_2PATHWAY	M54
PID_IL12_STAT4_PATHWAY	M290
PID_IL1_PATHWAY	M110
PID_IL23_PATHWAY	M196
PID_IL27_PATHWAY	M36
PID_IL2_1PATHWAY	M122
PID_IL2_PI3K_PATHWAY	M143
PID_IL2_STAT5_PATHWAY	M234
PID_IL3_PATHWAY	M182
PID_IL4_2PATHWAY	M28
PID_IL5_PATHWAY	M135
PID_IL6_7_PATHWAY	M183
PID_IL8_CXCR1_PATHWAY	M252
PID_IL8_CXCR2_PATHWAY	M210
PID_ILK_PATHWAY	M71
PID_INSULIN_GLUCOSE_PATHWAY	M247
PID_INSULIN_PATHWAY	M16
PID_INTEGRIN1_PATHWAY	M18
PID_INTEGRIN2_PATHWAY	M169
PID_INTEGRIN3_PATHWAY	M53
PID_INTEGRIN4_PATHWAY	M158
PID_INTEGRIN5_PATHWAY	M212
PID_INTEGRIN_A4B1_PATHWAY	M277
PID_INTEGRIN_A9B1_PATHWAY	M118
PID_INTEGRIN_CS_PATHWAY	M47
PID_KIT_PATHWAY	M231
PID_LIS1_PATHWAY	M163
PID_LKB1_PATHWAY	M87
PID_LPA4_PATHWAY	M56
PID_LYMPH_ANGIOGENESIS_PATHWAY	M274
PID_LYSOPHOSPHOLIPID_PATHWAY	M15
PID_MAPK_TRK_PATHWAY	M270
PID_MET_PATHWAY	M48
PID_MTOR_4PATHWAY	M121
PID_MYC_ACTIV_PATHWAY	M66
PID_MYC_PATHWAY	M139
PID_MYC_REPRESS_PATHWAY	M254
PID_NCADHERIN_PATHWAY	M266
PID_NECTIN_PATHWAY	M72
PID_NEPHRIN_NEPH1_PATHWAY	M193
PID_NETRIN_PATHWAY	M108
PID_NFAT_3PATHWAY	M113
PID_NFAT_TFPATHWAY	M60
PID_NFKAPPAB_ATYPICAL_PATHWAY	M26
PID_NFKAPPAB_CANONICAL_PATHWAY	M37
PID_NOTCH_PATHWAY	M17
PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY	M229
PID_P38_ALPHA_BETA_PATHWAY	M76
PID_P38_GAMMA_DELTA_PATHWAY	M209
PID_P38_MK2_PATHWAY	M199
PID_P38_MKK3_6PATHWAY	M20
PID_P53_DOWNSTREAM_PATHWAY	M145
PID_P53_REGULATION_PATHWAY	M261
PID_P73PATHWAY	M19
PID_P75_NTR_PATHWAY	M153
PID_PDGFRA_PATHWAY	M206
PID_PDGFRB_PATHWAY	M186
PID_PI3K_PLC_TRK_PATHWAY	M271
PID_PI3KCI_AKT_PATHWAY	M249
PID_PI3KCI_PATHWAY	M141
PID_PLK1_PATHWAY	M129
PID_PRL_SIGNALING_EVENTS_PATHWAY	M11
PID_PS1_PATHWAY	M70
PID_PTP1B_PATHWAY	M50
PID_RAC1_PATHWAY	M278
PID_RAC1_REG_PATHWAY	M241
PID_RANBP2_PATHWAY	M140
PID_RAS_PATHWAY	M269
PID_RB_1PATHWAY	M279
PID_REELIN_PATHWAY	M69
PID_REG_GR_PATHWAY	M115
PID_RET_PATHWAY	M82
PID_RETINOIC_ACID_PATHWAY	M207
PID_RHOA_PATHWAY	M12
PID_RHOA_REG_PATHWAY	M68
PID_RHODOPSIN_PATHWAY	M204
PID_RXR_VDR_PATHWAY	M162
PID_S1P_META_PATHWAY	M155
PID_S1P_S1P1_PATHWAY	M103
PID_S1P_S1P2_PATHWAY	M268
PID_S1P_S1P3_PATHWAY	M55
PID_S1P_S1P4_PATHWAY	M64
PID_SHP2_PATHWAY	M100
PID_SMAD2_3NUCLEAR_PATHWAY	M2
PID_SMAD2_3PATHWAY	M228
PID_SYNDECAN_1_PATHWAY	M198
PID_SYNDECAN_2_PATHWAY	M240
PID_SYNDECAN_3_PATHWAY	M251
PID_SYNDECAN_4_PATHWAY	M165
PID_TAP63_PATHWAY	M256
PID_TCPTP_PATHWAY	M91
PID_TCR_CALCIUM_PATHWAY	M235
PID_TCR_JNK_PATHWAY	M190
PID_TCR_PATHWAY	M34
PID_TCR_RAS_PATHWAY	M134
PID_TELOMERASE_PATHWAY	M105
PID_TGFBR_PATHWAY	M286
PID_THROMBIN_PAR1_PATHWAY	M238
PID_THROMBIN_PAR4_PATHWAY	M138
PID_TNF_PATHWAY	M128
PID_TOLL_ENDOGENOUS_PATHWAY	M264
PID_TRAIL_PATHWAY	M79
PID_TRKR_PATHWAY	M187
PID_TXA2PATHWAY	M99
PID_UPA_UPAR_PATHWAY	M174
PID_VEGF_VEGFR_PATHWAY	M137
PID_VEGFR1_2_PATHWAY	M237
PID_VEGFR1_PATHWAY	M226
PID_WNT_CANONICAL_PATHWAY	M90
PID_WNT_NONCANONICAL_PATHWAY	M23
PID_WNT_SIGNALING_PATHWAY	M77
REACTOME_2_LTR_CIRCLE_FORMATION	M26996
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	M708
REACTOME_ABACAVIR_ADME	M677
REACTOME_ABACAVIR_METABOLISM	M27148
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	M27147
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	M758
REACTOME_ABC_TRANSPORTER_DISORDERS	M27473
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	M524
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	M39015
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	M38998
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	M3630
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	M757
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	M41824
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	M93
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	M1825
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING	M26936
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	M592
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	M27914
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	M27911
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	M27912
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	M27910
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	M27904
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	M27929
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	M27919
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	M27488
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	M17243
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	M27948
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	M29689
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	M11153
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	M26902
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	M17814
REACTOME_ACTIVATION_OF_C3_AND_C5	M27031
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	M26906
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	M27172
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON	M970
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	M18193
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	M26976
REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7	M27213
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	M2843
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	M26903
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION	M27146
REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA	M26946
REACTOME_ACTIVATION_OF_RAC1	M6322
REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS	M27947
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS	M26921
REACTOME_ACTIVATION_OF_SMO	M27500
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	M13962
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	M721
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	M27180
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	M9694
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS	M27765
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS	M27054
REACTOME_ACYL_CHAIN_REMODELING_OF_CL	M26958
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	M26959
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	M643
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	M702
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	M700
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	M626
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	M703
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	M1058
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	M19522
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	M750
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	M11980
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	M29837
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	M811
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12	M841
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION	M10679
REACTOME_ADRENOCEPTORS	M27302
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING	M975
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	M27449
REACTOME_AGGREPHAGY	M29830
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	M3862
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS	M27095
REACTOME_ALK_MUTANTS_BIND_TKIS	M42522
REACTOME_ALPHA_DEFENSINS	M26955
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM	M27114
REACTOME_ALPHA_OXIDATION_OF_PHYTANATE	M27292
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY	M29827
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION	M27024
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	M5868
REACTOME_AMINO_ACID_CONJUGATION	M26968
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	M188
REACTOME_AMINO_ACIDS_REGULATE_MTORC1	M29825
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY	M26990
REACTOME_AMYLOID_FIBER_FORMATION	M27958
REACTOME_ANCHORING_FIBRIL_FORMATION	M27161
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	M27478
REACTOME_ANDROGEN_BIOSYNTHESIS	M504
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	M29840
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	M601
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	M1062
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	M518
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	M1070
REACTOME_ANTIMICROBIAL_PEPTIDES	M27627
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	M550
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	M1039
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	M1030
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	M29582
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	M1079
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	M27504
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION	M27040
REACTOME_APOPTOSIS	M15303
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	M1018
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	M9990
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	M495
REACTOME_APOPTOTIC_EXECUTION_PHASE	M2341
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	M26909
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	M920
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG	M27338
REACTOME_ARACHIDONIC_ACID_METABOLISM	M27140
REACTOME_ARMS_MEDIATED_ACTIVATION	M621
REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING	M27793
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	M894
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM	M27836
REACTOME_ASPIRIN_ADME	M45014
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	M27934
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES	M27839
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	M27103
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION	M27033
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	M27658
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	M3871
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	M27396
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	M796
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES	M801
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES	M794
REACTOME_ATORVASTATIN_ADME	M45020
REACTOME_ATTACHMENT_AND_ENTRY	M41729
REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR	M26984
REACTOME_ATTENUATION_PHASE	M27254
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	M998
REACTOME_AURKA_ACTIVATION_BY_TPX2	M27749
REACTOME_AUTOPHAGY	M27935
REACTOME_AZATHIOPRINE_ADME	M45013
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	M29668
REACTOME_BASE_EXCISION_REPAIR	M2158
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	M27700
REACTOME_BASIGIN_INTERACTIONS	M4974
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM	M27481
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING	M27288
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE	M27083
REACTOME_BETA_DEFENSINS	M565
REACTOME_BETA_OXIDATION_OF_BUTANOYL_COA_TO_ACETYL_COA	M27725
REACTOME_BETA_OXIDATION_OF_DECANOYL_COA_TO_OCTANOYL_COA_COA	M27722
REACTOME_BETA_OXIDATION_OF_HEXANOYL_COA_TO_BUTANOYL_COA	M27724
REACTOME_BETA_OXIDATION_OF_LAUROYL_COA_TO_DECANOYL_COA_COA	M27721
REACTOME_BETA_OXIDATION_OF_OCTANOYL_COA_TO_HEXANOYL_COA	M27723
REACTOME_BETA_OXIDATION_OF_PRISTANOYL_COA	M27294
REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS	M27298
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	M26904
REACTOME_BICARBONATE_TRANSPORTERS	M27335
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	M499
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	M27152
REACTOME_BINDING_OF_TCF_LEF_CTNNB1_TO_TARGET_GENE_PROMOTERS	M27359
REACTOME_BIOLOGICAL_OXIDATIONS	M10320
REACTOME_BIOSYNTHESIS_OF_EPA_DERIVED_SPMS	M27890
REACTOME_BIOSYNTHESIS_OF_MARESIN_LIKE_SPMS	M27909
REACTOME_BIOSYNTHESIS_OF_MARESINS	M27891
REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS	M27889
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN	M897
REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM	M27086
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS	M27917
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION	M26943
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	M17694
REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION	M26982
REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA	M934
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS	M27738
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS	M27484
REACTOME_CA2_ACTIVATED_K_CHANNELS	M26932
REACTOME_CA2_PATHWAY	M27321
REACTOME_CA_DEPENDENT_EVENTS	M749
REACTOME_CALCINEURIN_ACTIVATES_NFAT	M27106
REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS	M27332
REACTOME_CALNEXIN_CALRETICULIN_CYCLE	M907
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB	M26910
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN	M27828
REACTOME_CARDIAC_CONDUCTION	M27454
REACTOME_CARGO_CONCENTRATION_IN_THE_ER	M27591
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	M27752
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE	M27480
REACTOME_CARNITINE_METABOLISM	M27098
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND	M26947
REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND	M866
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY	M27434
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	M3634
REACTOME_CATION_COUPLED_CHLORIDE_COTRANSPORTERS	M27339
REACTOME_CD163_MEDIATING_AN_ANTI_INFLAMMATORY_RESPONSE	M29839
REACTOME_CD209_DC_SIGN_SIGNALING	M27485
REACTOME_CD22_MEDIATED_BCR_REGULATION	M27581
REACTOME_CD28_CO_STIMULATION	M11725
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	M13897
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY	M13618
REACTOME_CDC42_GTPASE_CYCLE	M41808
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	M780
REACTOME_CELL_CELL_COMMUNICATION	M522
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	M820
REACTOME_CELL_CYCLE	M543
REACTOME_CELL_CYCLE_CHECKPOINTS	M16647
REACTOME_CELL_CYCLE_MITOTIC	M5336
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	M19832
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS	M840
REACTOME_CELL_JUNCTION_ORGANIZATION	M19248
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	M16312
REACTOME_CELLULAR_HEXOSE_TRANSPORT	M27058
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	M41836
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS	M27253
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	M641
REACTOME_CELLULAR_RESPONSE_TO_STARVATION	M41835
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	M27827
REACTOME_CELLULAR_SENESCENCE	M27188
REACTOME_CGMP_EFFECTS	M902
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY	M27937
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	M625
REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX	M27708
REACTOME_CHL1_INTERACTIONS	M27379
REACTOME_CHOLESTEROL_BIOSYNTHESIS	M16227
REACTOME_CHOLINE_CATABOLISM	M27619
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	M658
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	M678
REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	M26991
REACTOME_CHROMATIN_MODIFYING_ENZYMES	M29619
REACTOME_CHROMOSOME_MAINTENANCE	M868
REACTOME_CHYLOMICRON_ASSEMBLY	M27838
REACTOME_CHYLOMICRON_CLEARANCE	M27845
REACTOME_CHYLOMICRON_REMODELING	M27843
REACTOME_CILIUM_ASSEMBLY	M27472
REACTOME_CIRCADIAN_CLOCK	M938
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	M784
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	M18334
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	M797
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	M793
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	M1066
REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT	M27930
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	M27753
REACTOME_CLEC7A_DECTIN_1_INDUCES_NFAT_ACTIVATION	M27466
REACTOME_CLEC7A_DECTIN_1_SIGNALING	M27467
REACTOME_CLEC7A_INFLAMMASOME_PATHWAY	M27542
REACTOME_COBALAMIN_CBL_METABOLISM	M45027
REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM	M27084
REACTOME_COENZYME_A_BIOSYNTHESIS	M27087
REACTOME_COHESIN_LOADING_ONTO_CHROMATIN	M27178
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	M26999
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	M27812
REACTOME_COLLAGEN_DEGRADATION	M26953
REACTOME_COLLAGEN_FORMATION	M631
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	M17879
REACTOME_COMPETING_ENDOGENOUS_RNAS_CERNAS_REGULATE_PTEN_TRANSLATION	M27813
REACTOME_COMPLEMENT_CASCADE	M19752
REACTOME_COMPLEX_I_BIOGENESIS	M27621
REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES	M27182
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	M27166
REACTOME_CONJUGATION_OF_BENZOATE_WITH_GLYCINE	M27037
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER	M27163
REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER	M27558
REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII	M29701
REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS	M559
